Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
66.29333,4.6621444e-05,52.389013091201605,4.540804901077596,0,1,7498.4976,-0.055562742,6,1,false,false,-0.7437725,1.151023,15.290717,0.0014619981,-0.016257161,3
66.300255,0.00030932212,52.389022257687486,4.540811069857029,0,1,7491.8896,-0.055562753,6,1,false,false,-0.28305334,-0.72338986,5.504312,0.0011645058,-0.020465229,3
66.329544,0.00057206285,52.38903151399114,4.540817238188247,0,1,7578.3623,-0.052278277,6,1,false,false,-0.61210793,2.127001,14.066416,0.0008159376,-0.022342559,3
66.35252,0.0008349239,52.389040680477024,4.54082340696768,0,1,7468.2666,-0.048993796,6,1,false,false,-0.26783422,1.4238594,9.98639,0.00045736,-0.022207068,3
66.378555,0.0010978873,52.389049846962905,4.540829575298897,0,1,7404.099,-0.044888385,6,1,false,false,-0.36376745,1.0804603,9.87438,8.1356884e-05,-0.023560949,3
66.39049,0.0013609197,52.389059013311666,4.5408358910927635,0,1,7507.811,-0.040235445,6,1,false,false,-1.1668416,0.35495865,10.552278,-0.00030831934,-0.023181457,3
66.402504,0.0016239969,52.389068269615315,4.540842059423981,0,1,7523.0366,-0.035582498,6,1,false,false,-0.4773184,0.9174178,10.004053,-0.0006766505,-0.022162134,3
66.4217,0.0018871396,52.38907743596407,4.540848228203414,0,1,7477.311,-0.029835228,6,1,false,false,-0.66696876,1.2123976,9.643107,-0.0010462151,-0.02278073,3
66.44195,0.0021503624,52.389086602587085,4.540854543549066,0,1,7508.017,-0.022445332,6,1,false,false,-0.9355284,0.8992058,9.890646,-0.0014053987,-0.019836925,3
66.45869,0.0024136554,52.389095858890734,4.540860712328498,0,1,7520.634,-0.016150523,6,1,false,false,-0.51180744,0.96534777,9.427542,-0.0017218246,-0.017943647,3
66.47778,0.0026770246,52.38910502523949,4.540866880659716,0,1,7502.631,-0.010950793,6,1,false,false,-0.72681445,1.0923762,9.778747,-0.0020083205,-0.015939608,3
66.49683,0.0029404666,52.3891141918625,4.540873196005368,0,1,7515.9565,-0.004656745,6,1,false,false,-0.7545831,0.96757305,9.577039,-0.0022607537,-0.014316055,3
66.51476,0.0032039862,52.38912344816615,4.5408793647848,0,1,7529.354,-0.0005520965,6,1,false,false,-0.94979024,0.99135,10.192883,-0.0024827882,-0.012109805,3
66.53437,0.0034675782,52.38913261451491,4.540885533116018,0,1,7518.595,0.0013639131,6,1,false,false,-0.68560815,1.0832721,10.259477,-0.0026584659,-0.008674293,3
66.553444,0.0037312517,52.389141870818555,4.540891848909885,0,1,7516.39,0.0019106932,6,1,false,false,-0.9282198,1.0214281,9.448497,-0.0027946741,-0.0064890077,3
66.57174,0.0039949985,52.389151037167316,4.540898017241102,0,1,7530.526,0.0013639133,6,1,false,false,-0.6892876,0.980874,10.0888195,-0.0028852227,-0.0031288269,3
66.5907,0.004258818,52.389160293470965,4.540904333034969,0,1,7530.37,-0.0010988766,6,1,false,false,-0.5449153,1.1148186,10.338825,-0.0029299513,-0.0011480689,3
66.60966,0.0045227134,52.389169460093974,4.540910501366187,0,1,7527.482,-0.004383356,6,1,false,false,-0.59520715,1.0737544,9.404306,-0.00294465,0.00051571766,3
66.62888,0.0047866856,52.38917871639762,4.540916816711839,0,1,7537.0933,-0.007392925,6,1,false,false,-0.58320665,1.0216948,10.053314,-0.0029311834,0.0019171205,3
66.6478,0.0050507337,52.389187882746384,4.540923132505705,0,1,7533.498,-0.011772482,6,1,false,false,-0.2775253,1.0814271,8.823352,-0.0028950835,0.0029608435,3
66.66806,0.0053148586,52.38919713905003,4.540929300836923,0,1,7523.4873,-0.016972214,6,1,false,false,-0.7765944,1.0793784,11.165747,-0.0028618458,0.0033497233,3
66.68509,0.00557906,52.38920639535368,4.5409356161825745,0,1,7533.6074,-0.025182275,6,1,false,false,-0.4670586,0.7731914,8.596769,-0.002809569,0.0031107394,3
66.70326,0.0058433274,52.38921556197669,4.5409417849620075,0,1,7552.324,-0.030929541,6,1,false,false,-0.9067679,1.1519507,9.917343,-0.002777534,0.0014596004,3
66.722984,0.006107671,52.38922481828035,4.540948100307659,0,1,7535.1855,-0.033666488,6,1,false,false,-0.61094177,1.0877985,9.715316,-0.002739492,0.0034804102,3
66.74261,0.006372094,52.389234074583996,4.540954415653311,0,1,7523.425,-0.03640341,6,1,false,false,-0.1712084,0.93854666,9.706009,-0.0026960648,0.0024641398,3
66.75913,0.006636589,52.38924324093275,4.54096073122307,0,1,7547.2954,-0.036950946,6,1,false,false,-0.45456722,0.92523205,8.861584,-0.0026835047,0.0006783539,3
66.77623,0.0069011524,52.389252497236406,4.540966899778395,0,1,7552.854,-0.036950957,6,1,false,false,-0.5149605,0.9808471,9.870947,-0.0026992145,-0.0008448173,3
66.7943,0.007165782,52.389261753540055,4.540973215348154,0,1,7544.8394,-0.036403425,6,1,false,false,-0.53212196,0.95028967,9.652697,-0.00273913,-0.0024311102,3
66.812035,0.0074304724,52.3892710098437,4.540979530693805,0,1,7566.4966,-0.034760788,6,1,false,false,-0.4574685,0.954193,9.221203,-0.0028052712,-0.0047025317,3
66.83111,0.0076952307,52.38928026614735,4.540985846263565,0,1,7572.882,-0.031477083,6,1,false,false,-0.40869355,1.1339592,10.077155,-0.0029083164,-0.006244647,3
66.852,0.007960072,52.38928943277036,4.54099201481889,0,1,7550.44,-0.030656144,6,1,false,false,-0.6080166,1.09806,9.605753,-0.0030229609,-0.006293689,3
66.87114,0.008224991,52.38929868907401,4.540998330164542,0,1,7550.9424,-0.03065615,6,1,false,false,-0.5442375,1.0043576,10.056542,-0.0031429108,-0.0067551224,3
66.88848,0.008489978,52.389307945377666,4.541004645734301,0,1,7573.435,-0.031203689,6,1,false,false,-0.5477932,0.90297616,9.513568,-0.003268977,-0.0074130623,3
66.90547,0.008755036,52.389317201681315,4.5410109610799525,0,1,7566.763,-0.031477075,6,1,false,false,-0.15037593,1.0046443,7.8238535,-0.0034046376,-0.0071700932,3
66.92629,0.009020171,52.389326457984964,4.541017276649712,0,1,7561.477,-0.03311895,6,1,false,false,-1.1053977,1.1215677,10.487131,-0.0035433583,-0.0070396317,3
66.943146,0.009285381,52.38933571428861,4.541023591995364,0,1,7571.6416,-0.035034955,6,1,false,false,-0.38534373,0.7934129,8.307994,-0.0036701448,-0.00730449,3
